doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
usa_new york city_3_west_club,3 west club,http://www.tripadvisor.com/ShowUserReviews-g60763-d217629-r25230531-3_West_Club-New_York_City_New_York.html,3 west 51st st,new york city,ny,USA,10019,-1,-1,8,4.428571429,4.428571429,4.428571429,5,4.714285714,0,4.6
usa_new york city_414_hotel,414 hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d217630-r47910069-414_Hotel-New_York_City_New_York.html,414 w 46th st,new york city,ny,USA,10036,-1,-1,187,4.073170732,3.987804878,3.914634146,4.646341463,4.268292683,0,4.17804878
usa_new york city_6_columbus,6 columbus,http://www.tripadvisor.com/ShowUserReviews-g60763-d93383-r50300967-6_Columbus-New_York_City_New_York.html,6 columbus circle,new york city,ny,USA,10019,-1,-1,125,4.371428571,3.838095238,4.276190476,4.742857143,4.028571429,0,4.251428571
usa_new york city_60_thompson,60 thompson,http://www.tripadvisor.com/ShowUserReviews-g60763-d93398-r50102862-60_Thompson-New_York_City_New_York.html,60 thompson street,new york city,ny,USA,10012,-1,-1,168,4.219512195,3.634146341,3.975609756,4.634146341,3.37804878,0,3.968292683
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,70 park avenue hotel a kimpton hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d93430-r50529135-70_park_avenue_hotel_a_Kimpton_Hotel-New_York_City_New_York.html,70 park avenue,new york city,ny,USA,10016,-1,-1,273,4.335078534,3.916230366,4.209424084,4.486910995,3.890052356,0,4.167539267
usa_new york city_ace_hotel_nyc,ace hotel nyc,http://www.tripadvisor.com/ShowUserReviews-g60763-d1201072-r50358384-Ace_Hotel_NYC-New_York_City_New_York.html,20 west 29th street,new york city,ny,USA,10001,-1,-1,53,4.306122449,4.020408163,4.183673469,3.959183673,4.06122449,0,4.106122449
usa_new york city_affinia_50,affinia 50,http://www.tripadvisor.com/ShowUserReviews-g60763-d502408-r50125834-Affinia_50-New_York_City_New_York.html,155 east 50th street,new york city,ny,USA,10022,-1,-1,336,4.418604651,4.358803987,4.511627907,4.624584718,4.289036545,0,4.440531561
usa_new york city_affinia_dumont,affinia dumont,http://www.tripadvisor.com/ShowUserReviews-g60763-d292142-r50363398-Affinia_Dumont-New_York_City_New_York.html,150 east 34th street,new york city,ny,USA,10016,-1,-1,345,4.485049834,4.485049834,4.411960133,4.647840532,4.352159468,0,4.47641196
usa_new york city_affinia_gardens,affinia gardens,http://www.tripadvisor.com/ShowUserReviews-g60763-d93467-r50436578-Affinia_Gardens-New_York_City_New_York.html,215 east 64th street,new york city,ny,USA,10021,-1,-1,209,4.551282051,4.506410256,4.544871795,4.608974359,4.333333333,0,4.508974359
usa_new york city_affinia_manhattan,affinia manhattan,http://www.tripadvisor.com/ShowUserReviews-g60763-d93562-r50531357-Affinia_Manhattan-New_York_City_New_York.html,371 seventh ave,new york city,ny,USA,10001,-1,-1,328,4.126245847,3.920265781,4.196013289,4.677740864,4.006644518,0,4.18538206
usa_new york city_affinia_shelburne,affinia shelburne,http://www.tripadvisor.com/ShowUserReviews-g60763-d93543-r50477723-Affinia_Shelburne-New_York_City_New_York.html,303 lexington avenue,new york city,ny,USA,10016,-1,-1,485,4.315614618,4.162790698,4.086378738,4.408637874,4.172757475,0,4.22923588
usa_new york city_aka_united_nations,aka united nations,http://www.tripadvisor.com/ShowUserReviews-g60763-d502407-r44037547-AKA_United_Nations-New_York_City_New_York.html,234 east 46th street,new york city,ny,USA,10017,-1,-1,7,4.2,4.6,4.2,4.4,4,0,4.28
usa_new york city_algonquin_hotel,algonquin hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d93568-r50276096-Algonquin_Hotel-New_York_City_New_York.html,59 w 44th st,new york city,ny,USA,10036,-1,-1,317,4.209039548,3.593220339,3.898305085,4.598870056,3.661016949,0,3.992090395
usa_new york city_americana_inn,americana inn,http://www.tripadvisor.com/ShowUserReviews-g60763-d121981-r48595270-Americana_Inn-New_York_City_New_York.html,69 west 38th street,new york city,ny,USA,10018,-1,-1,242,3.913385827,3.299212598,3.62992126,4.669291339,3.952755906,0,3.892913386
usa_new york city_amsterdam_court_hotel,amsterdam court hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d80075-r49797765-Amsterdam_Court_Hotel-New_York_City_New_York.html,226 west 50th street,new york city,ny,USA,10019,-1,-1,334,3.423312883,2.773006135,3.208588957,4.515337423,3.257668712,0,3.435582822
usa_new york city_astor_on_the_park,astor on the park,http://www.tripadvisor.com/ShowUserReviews-g60763-d99443-r50159076-Astor_on_the_Park-New_York_City_New_York.html,465 central park west,new york city,ny,USA,10025,-1,-1,343,3.840182648,3.01369863,3.383561644,3.315068493,3.547945205,0,3.420091324
usa_new york city_bedford_hotel,bedford hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d93403-r49326231-Bedford_Hotel-New_York_City_New_York.html,118 east 40th street,new york city,ny,USA,10016,-1,-1,231,3.810810811,3.63963964,3.765765766,4.63963964,3.846846847,0,3.940540541
usa_new york city_beekman_tower_hotel,beekman tower hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d113297-r50528765-Beekman_Tower_Hotel-New_York_City_New_York.html,3 mitchell place,new york city,ny,USA,10017,-1,-1,259,3.513157895,3.368421053,3.618421053,3.861842105,3.664473684,0,3.605263158
usa_new york city_belleclaire_hotel,belleclaire hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d93390-r49873102-Belleclaire_Hotel-New_York_City_New_York.html,250 west 77th street,new york city,ny,USA,10024,-1,-1,481,4.039007092,3.726950355,3.879432624,4.343971631,3.985815603,0,3.995035461
usa_new york city_bentley_hotel,bentley hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d99302-r50270728-Bentley_Hotel-New_York_City_New_York.html,500 east 62nd street,new york city,ny,USA,10021,-1,-1,393,4.178082192,3.881278539,3.780821918,3.447488584,3.835616438,0,3.824657534
usa_new york city_best_western_bowery_hanbee_hotel,best western bowery hanbee hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d1060157-r50535684-Best_Western_Bowery_Hanbee_Hotel-New_York_City_New_York.html,231 grand street,new york city,ny,USA,10013-4246,-1,-1,106,4.659793814,4.402061856,4.309278351,4.391752577,4.546391753,0,4.46185567
usa_new york city_best_western_convention_center_hotel,best western convention center hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d235228-r50446381-Best_Western_Convention_Center_Hotel-New_York_City_New_York.html,522 west 38th street,new york city,ny,USA,10018,-1,-1,119,3.706666667,2.973333333,3.373333333,2.72,3.253333333,0,3.205333333
usa_new york city_best_western_hospitality_house,best western hospitality house,http://www.tripadvisor.com/ShowUserReviews-g60763-d80087-r49603419-Best_Western_Hospitality_House-New_York_City_New_York.html,145 east 49th street,new york city,ny,USA,10017,-1,-1,172,4.163461538,4.307692308,4.153846154,4.644230769,4.375,0,4.328846154
usa_new york city_best_western_seaport_inn_downtown,best western seaport inn downtown,http://www.tripadvisor.com/ShowUserReviews-g60763-d75698-r47997956-Best_Western_Seaport_Inn_Downtown-New_York_City_New_York.html,33 peck slip,new york city,ny,USA,10038-1708,-1,-1,73,3.923076923,3.743589744,3.538461538,4.333333333,3.974358974,0,3.902564103
usa_new york city_blue_moon_hotel,blue moon hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d601762-r50327995-Blue_Moon_Hotel-New_York_City_New_York.html,100 orchard st,new york city,ny,USA,10002,-1,-1,178,4.662162162,4.547297297,4.641891892,4.425675676,4.209459459,0,4.497297297
usa_new york city_broadway_plaza_hotel,broadway plaza hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d223019-r50271736-Broadway_Plaza_Hotel-New_York_City_New_York.html,1155 broadway,new york city,ny,USA,10001,-1,-1,261,4.215384615,4,3.961538462,3.776923077,4.015384615,0,3.993846154
usa_new york city_buckingham_hotel,buckingham hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d234762-r50495294-Buckingham_Hotel-New_York_City_New_York.html,101 w 57th st at 6th ave,new york city,ny,USA,10019,-1,-1,181,3.72815534,3.54368932,3.72815534,4.611650485,3.737864078,0,3.869902913
usa_new york city_candlewood_suites_new_york_city_times_square,candlewood suites new york city times square,http://www.tripadvisor.com/ShowUserReviews-g60763-d1025779-r50541229-Candlewood_Suites_New_York_City_Times_Square-New_York_City_New_York.html,339 w. 39th street,new york city,ny,USA,10018,-1,-1,20,3.882352941,3.588235294,3.058823529,3.588235294,3.705882353,0,3.564705882
usa_new york city_carlton_arms,carlton arms,http://www.tripadvisor.com/ShowUserReviews-g60763-d112017-r49319192-Carlton_Arms-New_York_City_New_York.html,160 east 25th street,new york city,ny,USA,10010,-1,-1,113,3.333333333,3.126984127,3.396825397,4.253968254,4.079365079,0,3.638095238
usa_new york city_carvi_hotel_new_york,carvi hotel new york,http://www.tripadvisor.com/ShowUserReviews-g60763-d1235341-r49878430-Carvi_Hotel_New_York-New_York_City_New_York.html,155 east 55th street,new york city,ny,USA,10022,-1,-1,10,4.625,4.25,4,4.375,4,0,4.25
usa_new york city_casablanca_hotel,casablanca hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d113317-r50468901-Casablanca_Hotel-New_York_City_New_York.html,147 west 43rd street,new york city,ny,USA,10036,-1,-1,330,4.734219269,4.215946844,4.76744186,4.840531561,4.382059801,0,4.588039867
usa_new york city_chambers_hotel,chambers hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d157057-r47752233-Chambers_Hotel-New_York_City_New_York.html,15 w 56th st,new york city,ny,USA,10019,-1,-1,54,4.192307692,3.846153846,4,4.884615385,3.576923077,0,4.1
usa_new york city_chelsea_lodge,chelsea lodge,http://www.tripadvisor.com/ShowUserReviews-g60763-d80083-r50513844-Chelsea_Lodge-New_York_City_New_York.html,318 west 20th street,new york city,ny,USA,10011,-1,-1,266,4.494186047,3.848837209,3.912790698,4.651162791,4.569767442,0,4.295348837
usa_new york city_chelsea_pines_inn,chelsea pines inn,http://www.tripadvisor.com/ShowUserReviews-g60763-d122020-r50375963-Chelsea_Pines_Inn-New_York_City_New_York.html,317 west 14th street,new york city,ny,USA,10014,-1,-1,205,4.447204969,4.167701863,4.546583851,4.850931677,4.366459627,0,4.475776398
usa_new york city_chelsea_savoy_hotel,chelsea savoy hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d112019-r48896993-Chelsea_Savoy_Hotel-New_York_City_New_York.html,204 west 23rd street,new york city,ny,USA,10011,-1,-1,92,4.125,3.803571429,3.714285714,4.625,3.928571429,0,4.039285714
usa_new york city_city_club_hotel,city club hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d224226-r50303404-City_Club_Hotel-New_York_City_New_York.html,55 west 44th street,new york city,ny,USA,10036,-1,-1,113,4.448275862,3.689655172,3.896551724,4.586206897,3.465517241,0,4.017241379
usa_new york city_clarion_collection_the_solita_soho_hotel,clarion collection the solita soho hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d488793-r46259993-Clarion_Collection_The_Solita_Soho_Hotel-New_York_City_New_York.html,159 grand street,new york city,ny,USA,10013,-1,-1,98,4.157894737,3.649122807,3.754385965,4.438596491,3.754385965,0,3.950877193
usa_new york city_club_quarters_downtown,club quarters downtown,http://www.tripadvisor.com/ShowUserReviews-g60763-d217623-r49376923-Club_Quarters_Downtown-New_York_City_New_York.html,52 william street,new york city,ny,USA,10005,-1,-1,184,4.278688525,3.868852459,3.803278689,4.016393443,4.057377049,0,4.004918033
usa_new york city_club_quarters_midtown,club quarters midtown,http://www.tripadvisor.com/ShowUserReviews-g60763-d223021-r50546840-Club_Quarters_Midtown-New_York_City_New_York.html,40 west 45th street,new york city,ny,USA,10036,-1,-1,155,3.868131868,3.340659341,3.175824176,4.571428571,3.56043956,0,3.703296703
usa_new york city_club_quarters_rockefeller_center,club quarters rockefeller center,http://www.tripadvisor.com/ShowUserReviews-g60763-d607712-r50253901-Club_Quarters_Rockefeller_Center-New_York_City_New_York.html,25 west 51st street,new york city,ny,USA,10019,-1,-1,98,4.466666667,4,3.933333333,4.813333333,4.12,0,4.266666667
usa_new york city_comfort_inn_chelsea,comfort inn chelsea,http://www.tripadvisor.com/ShowUserReviews-g60763-d93401-r49828650-Comfort_Inn_Chelsea-New_York_City_New_York.html,18 west 25th street,new york city,ny,USA,10010,-1,-1,154,4.101694915,3.661016949,3.661016949,4.237288136,3.915254237,0,3.915254237
usa_new york city_comfort_inn_manhattan,comfort inn manhattan,http://www.tripadvisor.com/ShowUserReviews-g60763-d121996-r50368802-Comfort_Inn_Manhattan-New_York_City_New_York.html,42 west 35th street,new york city,ny,USA,10001-2201,-1,-1,303,3.666666667,3.406666667,3.76,4.7,3.806666667,0,3.868
usa_new york city_comfort_inn_manhattan_bridge,comfort inn manhattan bridge,http://www.tripadvisor.com/ShowUserReviews-g60763-d1383001-r50289829-Comfort_Inn_Manhattan_Bridge-New_York_City_New_York.html,61-63 chrystie street,new york city,ny,USA,10013,-1,-1,21,4.5,3.95,3.6,3.8,4.6,0,4.09
usa_new york city_comfort_inn_midtown,comfort inn midtown,http://www.tripadvisor.com/ShowUserReviews-g60763-d112021-r50432100-Comfort_Inn_Midtown-New_York_City_New_York.html,129 west 46th street,new york city,ny,USA,10036,-1,-1,494,4.484304933,4.094170404,4.34529148,4.860986547,4.408071749,0,4.438565022
usa_new york city_comfort_inn_midtown_manhattan,comfort inn midtown manhattan,http://www.tripadvisor.com/ShowUserReviews-g60763-d1485603-r49212528-Comfort_Inn_Midtown_Manhattan-New_York_City_New_York.html,343 44th street,new york city,ny,USA,10036,-1,-1,18,4.666666667,4,4.5,4.777777778,4.444444444,0,4.477777778
usa_new york city_comfort_inn_midtown_west_convention_center,comfort inn midtown west convention center,http://www.tripadvisor.com/ShowUserReviews-g60763-d596200-r47062024-Comfort_Inn_Midtown_West_Convention_Center-New_York_City_New_York.html,442 w 36th st,new york city,ny,USA,10018,-1,-1,81,3.64516129,3.35483871,3.612903226,3.935483871,3.709677419,0,3.651612903
usa_new york city_comfort_inn_times_square,comfort inn times square,http://www.tripadvisor.com/ShowUserReviews-g60763-d673077-r50283447-Comfort_Inn_Times_Square-New_York_City_New_York.html,305 w 39th st,new york city,ny,USA,10018,-1,-1,108,4.222222222,3.888888889,4.077777778,4.288888889,3.944444444,0,4.084444444
usa_new york city_cooper_square_hotel,cooper square hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d1149402-r50445434-Cooper_Square_Hotel-New_York_City_New_York.html,25 cooper square,new york city,ny,USA,10003,-1,-1,51,4.434782609,3.782608696,3.782608696,4.565217391,3.565217391,0,4.026086957
usa_new york city_cosmopolitan_hotel_tribeca,cosmopolitan hotel tribeca,http://www.tripadvisor.com/ShowUserReviews-g60763-d93351-r50079883-Cosmopolitan_Hotel_Tribeca-New_York_City_New_York.html,95 west broadway,new york city,ny,USA,10007,-1,-1,454,4.473684211,3.697368421,3.802631579,4.399122807,4.127192982,0,4.1
usa_new york city_courtyard_by_marriott_new_york_manhattan_times_square_south,courtyard by marriott new york manhattan times square south,http://www.tripadvisor.com/ShowUserReviews-g60763-d99368-r49483218-Courtyard_by_Marriott_New_York_Manhattan_Times_Square_South-New_York_City_New_York.html,114 west 40th street,new york city,ny,USA,10018,-1,-1,267,4.416666667,4.211111111,4.327777778,4.727777778,4.227777778,0,4.382222222
usa_new york city_courtyard_by_marriott_new_york_manhattan_upper_east_side,courtyard by marriott new york manhattan upper east side,http://www.tripadvisor.com/ShowUserReviews-g60763-d564851-r47910449-Courtyard_by_Marriott_New_York_Manhattan_Upper_East_Side-New_York_City_New_York.html,410 east 92nd street,new york city,ny,USA,10128,-1,-1,92,4.517647059,4.058823529,4.223529412,3.494117647,4.070588235,0,4.072941176
usa_new york city_courtyard_new_york_manhattan_fifth_avenue,courtyard new york manhattan fifth avenue,http://www.tripadvisor.com/ShowUserReviews-g60763-d99391-r48435279-Courtyard_New_York_Manhattan_Fifth_Avenue-New_York_City_New_York.html,3 east 40th street,new york city,ny,USA,10016,-1,-1,131,4.271428571,3.614285714,4.085714286,4.585714286,3.742857143,0,4.06
usa_new york city_courtyard_new_york_manhattan_midtown_east,courtyard new york manhattan midtown east,http://www.tripadvisor.com/ShowUserReviews-g60763-d99371-r50096191-Courtyard_New_York_Manhattan_Midtown_East-New_York_City_New_York.html,866 third avenue,new york city,ny,USA,10022,-1,-1,349,4.666666667,4.544444444,4.488888889,4.607407407,4.344444444,0,4.53037037
usa_new york city_crosby_street_hotel,crosby street hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d1572980-r48777744-Crosby_Street_Hotel-New_York_City_New_York.html,79 crosby street,new york city,ny,USA,-1,-1,-1,4,5,5,5,5,5,0,5
usa_new york city_crowne_plaza_times_square_manhattan,crowne plaza times square manhattan,http://www.tripadvisor.com/ShowUserReviews-g60763-d93454-r50553020-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York.html,1605 broadway,new york city,ny,USA,10019,-1,-1,351,4.245847176,3.980066445,3.687707641,4.727574751,3.478405316,0,4.023920266
usa_new york city_da_vinci_hotel,da vinci hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d99365-r49785534-Da_Vinci_Hotel-New_York_City_New_York.html,244 west 56th street,new york city,ny,USA,10019,-1,-1,136,3.976744186,3.418604651,3.744186047,4.709302326,3.976744186,0,3.965116279
usa_new york city_doubletree_guest_suites_times_square,doubletree guest suites times square,http://www.tripadvisor.com/ShowUserReviews-g60763-d93352-r50531236-Doubletree_Guest_Suites_Times_Square-New_York_City_New_York.html,1568 broadway,new york city,ny,USA,10036-8201,-1,-1,350,4.305647841,4.259136213,4.159468439,4.800664452,4.003322259,0,4.305647841
usa_new york city_doubletree_hotel_chelsea_new_york_city,doubletree hotel chelsea new york city,http://www.tripadvisor.com/ShowUserReviews-g60763-d1214829-r50462492-Doubletree_Hotel_Chelsea_New_York_City-New_York_City_New_York.html,128 west 29th street,new york city,ny,USA,10001,-1,-1,42,4.432432432,3.594594595,3.810810811,3.783783784,3.702702703,0,3.864864865
usa_new york city_doubletree_metropolitan_hotel,doubletree metropolitan hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d93466-r50432408-Doubletree_Metropolitan_Hotel-New_York_City_New_York.html,569 lexington avenue at east 51st street,new york city,ny,USA,10022,-1,-1,368,3.684385382,3.395348837,3.644518272,4.438538206,3.451827243,0,3.722923588
usa_new york city_dream,dream,http://www.tripadvisor.com/ShowUserReviews-g60763-d75688-r50460127-Dream-New_York_City_New_York.html,210 west 55th street,new york city,ny,USA,10019,-1,-1,326,4.01744186,3.38372093,3.558139535,4.48255814,3.26744186,0,3.741860465
usa_new york city_duane_street_hotel,duane street hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d620399-r50415614-Duane_Street_Hotel-New_York_City_New_York.html,130 duane street,new york city,ny,USA,10013,-1,-1,44,4.333333333,4.027777778,3.75,4.277777778,3.611111111,0,4
usa_new york city_dylan_hotel,dylan hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d217622-r49587046-Dylan_Hotel-New_York_City_New_York.html,52 east 41st street,new york city,ny,USA,10017,-1,-1,139,3.958333333,3.472222222,3.777777778,4.444444444,3.444444444,0,3.819444444
usa_new york city_eastgate_tower,eastgate tower,http://www.tripadvisor.com/ShowUserReviews-g60763-d93435-r50364188-Eastgate_Tower-New_York_City_New_York.html,222 east 39th street,new york city,ny,USA,10016,-1,-1,373,4.007633588,3.889312977,4.099236641,4.167938931,4.263358779,0,4.085496183
usa_new york city_econo_lodge_times_square,econo lodge times square,http://www.tripadvisor.com/ShowUserReviews-g60763-d93359-r48656006-Econo_Lodge_Times_Square-New_York_City_New_York.html,302 west 47th street,new york city,ny,USA,10036,-1,-1,151,4.009174312,3.155963303,3.825688073,4.651376147,3.935779817,0,3.91559633
